Epoch,Comb_Train_Loss,Comb_Train_Accuracy,CVHuman_Loss,CVHuman_Accuracy,CVAnime_Loss,CVAnime_Accuracy
1,2.45,0.17,2.89,0.15,2.21,0.19
2,2.19,0.21,2.25,0.21,1.55,0.34
3,1.98,0.25,1.97,0.25,1.09,0.51
4,1.78,0.31,1.77,0.29,0.7,0.71
5,1.63,0.35,1.65,0.35,0.4,0.85
6,1.55,0.41,1.44,0.48,0.22,0.91
7,1.32,0.51,1.34,0.5,0.11,0.93
8,1.11,0.57,1.22,0.54,0.07,0.97
9,0.95,0.61,1.2,0.55,0.04,0.98
10,0.77,0.69,1.1,0.57,0.01,0.99
11,0.65,0.75,1.09,0.6,0.01,0.99
12,0.44,0.81,1.03,0.61,0.01,0.99
13,0.21,0.89,0.89,0.69,0.01,1
14,0.11,0.93,0.77,0.75,0,1
15,0.07,0.97,0.65,0.83,0,1
16,0.04,0.99,0.5,0.85,0,1
17,0.03,0.99,0.54,0.84,0,1
18,0.04,0.99,0.49,0.86,0,1
19,0.03,0.99,0.49,0.87,0,1
20,0.04,0.99,0.46,0.87,0,1
